City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nanakuli,US,83.1,scattered clouds,21.3906,-158.1547,Camp Pālehua
5,Rikitea,PF,70.61,light rain,-23.1203,-134.9692,People ThankYou
7,Bolshaya Sosnova,RU,70.7,scattered clouds,57.6713,54.6029,Gostinitsa
9,Sergeyevka,KZ,66.56,overcast clouds,53.88,67.4158,Amina
13,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
16,Garissa,KE,69.01,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
20,Saint-Philippe,RE,65.79,clear sky,-21.3585,55.7679,Le four à pain
23,Hamilton,US,79.57,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
24,Puerto Ayora,EC,66.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Biltine,TD,76.46,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
31,Atuona,PF,77.11,few clouds,-9.8,-139.0333,Villa Enata
33,Daru,PG,80.46,few clouds,-9.0763,143.2092,Daru Lodge
34,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
35,Pacific Grove,US,69.46,clear sky,36.6177,-121.9166,Lovers Point Inn
40,Hirado,JP,83.5,overcast clouds,33.3597,129.5531,Samson Hotel
43,Tigil,RU,74.19,scattered clouds,57.8,158.6667,Tigil'
44,Oktyabrskiy,RU,69.4,broken clouds,54.4815,53.471,Гостиница Октябрьская
50,Mangrol,IN,82.44,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
51,Cockburn Town,TC,81.95,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
60,Bibiani,GH,65.89,overcast clouds,6.4635,-2.3194,Rodick Hotel
61,Bambous Virieux,MU,66.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
62,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
64,Torbay,CA,69.58,overcast clouds,47.6666,-52.7314,Gallows Cove
67,Arraial Do Cabo,BR,70.32,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
71,Xuddur,SO,66.24,broken clouds,4.1213,43.8894,Banjanay Hotel
74,Ilhabela,BR,68.36,light rain,-23.7781,-45.3581,Ilha Flat Hotel
75,Bethel,US,79.48,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
76,Lompoc,US,69.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
77,Carnarvon,AU,67.57,clear sky,-24.8667,113.6333,Hospitality Carnarvon
78,Ayame,CI,69.31,scattered clouds,5.6083,-3.1563,Hotel Bossan
79,Kapaa,US,81.48,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
83,Vaini,TO,75.97,light rain,-21.2,-175.2,Keleti Beach Resort
85,Zaozerne,UA,74.32,clear sky,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
87,Jamestown,US,76.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
88,Ponta Do Sol,PT,73.0,clear sky,32.6667,-17.1,Hotel do Campo
90,Fukue,JP,84.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
91,Makakilo City,US,81.68,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
94,Kontagora,NG,71.49,light rain,10.3999,5.4695,Queens Guest Inn
95,Peace River,CA,67.01,overcast clouds,56.2501,-117.286,BCMInns - Peace River
97,Hithadhoo,MV,81.34,overcast clouds,-0.6,73.0833,Scoop Guest House
98,Abaetetuba,BR,75.56,clear sky,-1.7181,-48.8825,Hotel Joanayna
99,Ariquemes,BR,74.98,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
100,Puri,IN,84.72,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
101,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
103,Guerrero Negro,MX,75.24,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
