City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanakuli,US,21.3906,-158.1547,83.1,66,49,9.51,scattered clouds
1,Teguldet,RU,57.3064,88.1667,69.46,56,99,4.92,overcast clouds
2,Ambon,ID,-3.6954,128.1814,86.14,70,20,5.75,few clouds
3,Muros,ES,42.7762,-9.0603,63.68,94,3,4.74,clear sky
4,Ibipora,BR,-23.2692,-51.0481,61.61,92,100,4.12,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,70.61,74,100,36.62,light rain
6,Asau,RO,46.4333,26.4,63.52,96,13,2.86,few clouds
7,Bolshaya Sosnova,RU,57.6713,54.6029,70.7,67,31,2.21,scattered clouds
8,Airai,TL,-8.9266,125.4092,74.17,44,37,5.88,scattered clouds
9,Sergeyevka,KZ,53.88,67.4158,66.56,67,97,9.17,overcast clouds
10,Port Elizabeth,ZA,-33.918,25.5701,59.09,99,95,7.0,overcast clouds
11,Lebu,CL,-37.6167,-73.65,45.64,87,88,8.57,overcast clouds
12,Pangnirtung,CA,66.1451,-65.7125,42.4,92,97,1.79,overcast clouds
13,Butaritari,KI,3.0707,172.7902,81.79,74,96,12.88,overcast clouds
14,Bara,NG,10.3744,10.7288,72.79,94,99,7.85,moderate rain
15,Hualmay,PE,-11.0964,-77.6139,61.3,85,49,9.24,scattered clouds
16,Garissa,KE,-0.4536,39.6401,69.01,83,60,15.21,broken clouds
17,Mezen,RU,65.8522,44.24,57.36,74,72,8.34,broken clouds
18,Popondetta,PG,-8.7537,148.2534,89.38,51,61,8.12,broken clouds
19,Ushuaia,AR,-54.8,-68.3,38.86,60,0,8.05,clear sky
20,Saint-Philippe,RE,-21.3585,55.7679,65.79,80,0,4.81,clear sky
21,Te Anau,NZ,-45.4167,167.7167,38.77,81,50,6.29,scattered clouds
22,Dongkan,CN,33.9997,119.8308,90.81,69,100,10.18,overcast clouds
23,Hamilton,US,39.1834,-84.5333,79.57,84,6,4.27,clear sky
24,Puerto Ayora,EC,-0.7393,-90.3518,66.54,97,46,9.57,scattered clouds
25,Hermanus,ZA,-34.4187,19.2345,56.35,83,32,3.91,scattered clouds
26,Biltine,TD,14.5333,20.9167,76.46,76,100,17.81,overcast clouds
27,Malartic,CA,48.1335,-78.1328,53.02,89,64,4.83,broken clouds
28,Dunedin,NZ,-45.8742,170.5036,41.81,60,84,10.0,broken clouds
29,Albany,US,42.6001,-73.9662,77.65,87,0,3.36,clear sky
30,Pevek,RU,69.7008,170.3133,32.83,89,100,15.14,overcast clouds
31,Atuona,PF,-9.8,-139.0333,77.11,72,18,16.42,few clouds
32,Broken Hill,AU,-31.95,141.4333,58.69,38,1,2.48,clear sky
33,Daru,PG,-9.0763,143.2092,80.46,82,15,17.29,few clouds
34,Avarua,CK,-21.2078,-159.775,73.45,73,75,10.36,broken clouds
35,Pacific Grove,US,36.6177,-121.9166,69.46,81,0,4.0,clear sky
36,Khatanga,RU,71.9667,102.5,59.52,59,72,8.48,broken clouds
37,Nybro,SE,56.7446,15.9071,58.05,91,100,4.7,overcast clouds
38,Necochea,AR,-38.5473,-58.7368,39.27,85,11,6.71,few clouds
39,Lakes Entrance,AU,-37.8811,147.981,58.15,63,21,4.7,few clouds
40,Hirado,JP,33.3597,129.5531,83.5,80,90,12.8,overcast clouds
41,Busselton,AU,-33.65,115.3333,54.54,83,97,18.59,overcast clouds
42,Punta Arenas,CL,-53.15,-70.9167,35.71,87,40,12.66,scattered clouds
43,Tigil,RU,57.8,158.6667,74.19,37,30,5.3,scattered clouds
44,Oktyabrskiy,RU,54.4815,53.471,69.4,66,78,2.62,broken clouds
45,Castro,BR,-24.7911,-50.0119,56.43,96,100,4.47,overcast clouds
46,Cidreira,BR,-30.1811,-50.2056,58.46,96,100,14.7,overcast clouds
47,Thinadhoo,MV,0.5333,72.9333,82.0,73,100,6.89,overcast clouds
48,Klaksvik,FO,62.2266,-6.589,54.52,99,100,11.21,overcast clouds
